Epoch,Recon,KL_dim,Beta,Total_Loss,Active_Units_AU,Max_Active_Units
1,1.6269,0.0849,0.0400,0.0203,99,128
2,1.3283,0.0879,0.0800,0.0213,128,128
3,1.2304,0.0901,0.1200,0.0243,128,128
4,1.1696,0.0904,0.1600,0.0277,126,128
5,1.1284,0.0913,0.2000,0.0313,117,128
6,1.1002,0.0914,0.2400,0.0350,107,128
7,1.0778,0.0911,0.2800,0.0388,93,128
8,1.0588,0.0917,0.3200,0.0426,82,128
9,1.0429,0.0914,0.3600,0.0464,69,128
10,1.0268,0.0927,0.4000,0.0503,62,128
11,1.0114,0.0925,0.4400,0.0541,56,128
12,0.9980,0.0932,0.4800,0.0580,52,128
13,0.9870,0.0935,0.5200,0.0619,46,128
14,0.9730,0.0940,0.5600,0.0657,40,128
15,0.9626,0.0945,0.6000,0.0696,41,128
16,0.9505,0.0952,0.6400,0.0735,38,128
17,0.9415,0.0956,0.6800,0.0774,37,128
18,0.9340,0.0958,0.7200,0.0813,36,128
19,0.9248,0.0961,0.7600,0.0853,36,128
20,0.9191,0.0966,0.8000,0.0892,36,128
21,0.9133,0.0965,0.8400,0.0931,37,128
22,0.9107,0.0969,0.8800,0.0971,37,128
23,0.9066,0.0971,0.9200,0.1011,36,128
24,0.9042,0.0973,0.9600,0.1051,37,128
25,0.9031,0.0973,1.0000,0.1090,37,128
