Epoch,Recon,KL_dim,Beta,Total_Loss,Active_Units_AU,Max_Active_Units
1,1.8050,0.0813,0.0400,0.0221,7,128
2,1.4945,0.0799,0.0800,0.0229,94,128
3,1.4079,0.0791,0.1200,0.0261,106,128
4,1.3566,0.0786,0.1600,0.0296,107,128
5,1.3238,0.0776,0.2000,0.0332,107,128
6,1.2932,0.0784,0.2400,0.0369,112,128
7,1.2675,0.0794,0.2800,0.0407,115,128
8,1.2450,0.0809,0.3200,0.0445,113,128
9,1.2293,0.0805,0.3600,0.0483,109,128
10,1.2130,0.0809,0.4000,0.0521,104,128
11,1.1982,0.0821,0.4400,0.0560,97,128
12,1.1810,0.0842,0.4800,0.0598,94,128
13,1.1691,0.0846,0.5200,0.0637,90,128
14,1.1588,0.0861,0.5600,0.0676,88,128
15,1.1469,0.0879,0.6000,0.0715,86,128
16,1.1375,0.0879,0.6400,0.0754,83,128
17,1.1270,0.0908,0.6800,0.0793,81,128
18,1.1223,0.0896,0.7200,0.0832,77,128
19,1.1163,0.0913,0.7600,0.0872,75,128
20,1.1087,0.0926,0.8000,0.0911,74,128
21,1.1064,0.0942,0.8400,0.0951,73,128
22,1.1027,0.0946,0.8800,0.0990,72,128
23,1.1009,0.0946,0.9200,0.1030,71,128
24,1.0984,0.0951,0.9600,0.1070,71,128
25,1.0983,0.0950,1.0000,0.1110,70,128
