timestamp,step,qed,logp,l2_distance
2026-02-25T19:32:00Z,0,0.3908,0.9563,0.0111
2026-02-25T19:33:00Z,1,0.3982,1.1388,0.0801
2026-02-25T19:34:00Z,2,0.4224,1.2245,0.2467
2026-02-25T19:35:00Z,3,0.4387,1.2326,0.3006
2026-02-25T19:36:00Z,4,0.4513,1.2567,0.4002
2026-02-25T19:37:00Z,5,0.4985,1.3279,0.5009
2026-02-25T19:38:00Z,6,0.4959,1.3775,0.6
2026-02-25T19:39:00Z,7,0.5168,1.3918,0.6615
2026-02-25T19:40:00Z,8,0.5245,1.4943,0.7447
2026-02-25T19:41:00Z,9,0.5451,1.5351,0.8288
2026-02-25T19:42:00Z,10,0.5713,1.5965,0.9192
2026-02-25T19:43:00Z,11,0.5753,1.5331,0.9712
2026-02-25T19:44:00Z,12,0.5855,1.625,1.0503
2026-02-25T19:45:00Z,13,0.6006,1.7435,1.1076
2026-02-25T19:46:00Z,14,0.6053,1.7775,1.1941
2026-02-25T19:47:00Z,15,0.6254,1.7603,1.2526
2026-02-25T19:48:00Z,16,0.6209,1.8252,1.3017
2026-02-25T19:49:00Z,17,0.6339,1.8604,1.3704
2026-02-25T19:50:00Z,18,0.6364,1.9915,1.3926
2026-02-25T19:51:00Z,19,0.6506,1.8632,1.4364
2026-02-25T19:52:00Z,20,0.6545,2.0002,1.5036
2026-02-25T19:53:00Z,21,0.6734,1.971,1.5542
2026-02-25T19:54:00Z,22,0.6759,2.0939,1.5739
2026-02-25T19:55:00Z,23,0.6846,1.996,1.6572
2026-02-25T19:56:00Z,24,0.6955,2.0239,1.6795
2026-02-25T19:57:00Z,25,0.6904,2.0408,1.726
2026-02-25T19:58:00Z,26,0.6888,2.0662,1.7513
2026-02-25T19:59:00Z,27,0.6977,2.0968,1.7824
2026-02-25T20:00:00Z,28,0.7138,2.1013,1.8514
2026-02-25T20:01:00Z,29,0.7175,2.2583,1.844
2026-02-25T20:02:00Z,30,0.7243,2.1933,1.8982
2026-02-25T20:03:00Z,31,0.7065,2.1868,1.9392
2026-02-25T20:04:00Z,32,0.7147,2.1868,1.9618
2026-02-25T20:05:00Z,33,0.7157,2.1663,1.9852
2026-02-25T20:06:00Z,34,0.7348,2.1889,2.0121
2026-02-25T20:07:00Z,35,0.7377,2.2831,2.0586
2026-02-25T20:08:00Z,36,0.7412,2.2571,2.108
2026-02-25T20:09:00Z,37,0.7249,2.2484,2.1079
2026-02-25T20:10:00Z,38,0.7314,2.321,2.1291
2026-02-25T20:11:00Z,39,0.7348,2.2575,2.1696
2026-02-25T20:12:00Z,40,0.7418,2.2917,2.1783
2026-02-25T20:13:00Z,41,0.7316,2.2919,2.2075
2026-02-25T20:14:00Z,42,0.7538,2.2823,2.1949
2026-02-25T20:15:00Z,43,0.7566,2.3172,2.2384
2026-02-25T20:16:00Z,44,0.7543,2.3474,2.2377
2026-02-25T20:17:00Z,45,0.7541,2.3174,2.2643
2026-02-25T20:18:00Z,46,0.7552,2.3397,2.2863
2026-02-25T20:19:00Z,47,0.7479,2.3468,2.3038
2026-02-25T20:20:00Z,48,0.7493,2.4364,2.3201
2026-02-25T20:21:00Z,49,0.7559,2.4631,2.3572
2026-02-25T20:22:00Z,50,0.7525,2.4687,2.3494
2026-02-25T20:23:00Z,51,0.7603,2.3236,2.3639
2026-02-25T20:24:00Z,52,0.7581,2.493,2.3851
2026-02-25T20:25:00Z,53,0.7618,2.3448,2.3648
2026-02-25T20:26:00Z,54,0.764,2.4315,2.4198
2026-02-25T20:27:00Z,55,0.7689,2.3819,2.4337
2026-02-25T20:28:00Z,56,0.7663,2.4043,2.4177
2026-02-25T20:29:00Z,57,0.7589,2.4183,2.4313
2026-02-25T20:30:00Z,58,0.7647,2.4396,2.4446
2026-02-25T20:31:00Z,59,0.7783,2.4577,2.4768
2026-02-25T20:32:00Z,60,0.759,2.4199,2.4614
2026-02-25T20:33:00Z,61,0.7644,2.3706,2.4813
2026-02-25T20:34:00Z,62,0.7839,2.4568,2.5031
2026-02-25T20:35:00Z,63,0.7704,2.4683,2.5122
2026-02-25T20:36:00Z,64,0.7803,2.5153,2.5011
2026-02-25T20:37:00Z,65,0.7812,2.4968,2.5175
2026-02-25T20:38:00Z,66,0.769,2.4621,2.5
2026-02-25T20:39:00Z,67,0.7724,2.5004,2.5218
2026-02-25T20:40:00Z,68,0.7746,2.4411,2.5358
2026-02-25T20:41:00Z,69,0.7807,2.4914,2.5491
2026-02-25T20:42:00Z,70,0.77,2.5322,2.5646
