timestamp,epoch,mse_qed,mse_logp,mse_sas
2026-02-25T17:51:00Z,1,0.05918,1.72061,5.79415
2026-02-25T17:52:00Z,2,0.05503,1.60357,5.36551
2026-02-25T17:53:00Z,3,0.05071,1.53167,5.14004
2026-02-25T17:54:00Z,4,0.04873,1.44779,4.89978
2026-02-25T17:55:00Z,5,0.044,1.37005,4.58037
2026-02-25T17:56:00Z,6,0.04095,1.28276,4.35964
2026-02-25T17:57:00Z,7,0.03767,1.22337,4.28278
2026-02-25T17:58:00Z,8,0.03459,1.16624,3.90037
2026-02-25T17:59:00Z,9,0.03314,1.11151,3.81493
2026-02-25T18:00:00Z,10,0.0309,1.03882,3.69164
2026-02-25T18:01:00Z,11,0.02933,0.99732,3.51975
2026-02-25T18:02:00Z,12,0.0278,0.96933,3.4216
2026-02-25T18:03:00Z,13,0.0257,0.90581,3.24072
2026-02-25T18:04:00Z,14,0.02586,0.85514,3.16243
2026-02-25T18:05:00Z,15,0.02455,0.83371,3.01202
2026-02-25T18:06:00Z,16,0.0231,0.78495,2.95188
2026-02-25T18:07:00Z,17,0.02322,0.76087,2.8419
2026-02-25T18:08:00Z,18,0.02196,0.74746,2.88412
2026-02-25T18:09:00Z,19,0.01999,0.69296,2.82992
2026-02-25T18:10:00Z,20,0.01972,0.6758,2.74531
2026-02-25T18:11:00Z,21,0.01901,0.64617,2.48992
2026-02-25T18:12:00Z,22,0.01841,0.62136,2.53992
2026-02-25T18:13:00Z,23,0.01925,0.58832,2.5351
2026-02-25T18:14:00Z,24,0.01805,0.59725,2.44417
2026-02-25T18:15:00Z,25,0.01817,0.56454,2.42945
2026-02-25T18:16:00Z,26,0.01746,0.54932,2.41445
2026-02-25T18:17:00Z,27,0.01694,0.52756,2.41913
2026-02-25T18:18:00Z,28,0.01695,0.53247,2.32335
2026-02-25T18:19:00Z,29,0.01742,0.48333,2.35198
2026-02-25T18:20:00Z,30,0.01641,0.49286,2.30508
2026-02-25T18:21:00Z,31,0.0158,0.47322,2.28548
2026-02-25T18:22:00Z,32,0.01614,0.47065,2.26096
2026-02-25T18:23:00Z,33,0.01599,0.45985,2.31865
2026-02-25T18:24:00Z,34,0.01571,0.43892,2.23397
2026-02-25T18:25:00Z,35,0.01563,0.44441,2.24636
2026-02-25T18:26:00Z,36,0.01519,0.4428,2.20456
2026-02-25T18:27:00Z,37,0.01529,0.4203,2.21118
2026-02-25T18:28:00Z,38,0.01546,0.42341,2.25175
2026-02-25T18:29:00Z,39,0.01547,0.40871,2.23518
2026-02-25T18:30:00Z,40,0.01458,0.40554,2.18548
2026-02-25T18:31:00Z,41,0.01471,0.40249,2.1428
2026-02-25T18:32:00Z,42,0.01564,0.38112,2.11546
2026-02-25T18:33:00Z,43,0.01512,0.39412,2.20052
2026-02-25T18:34:00Z,44,0.0148,0.38144,2.11822
2026-02-25T18:35:00Z,45,0.01447,0.37048,2.20616
2026-02-25T18:36:00Z,46,0.01432,0.36499,2.13617
2026-02-25T18:37:00Z,47,0.01456,0.36388,2.10642
2026-02-25T18:38:00Z,48,0.01444,0.3685,2.11791
2026-02-25T18:39:00Z,49,0.01405,0.36515,2.06696
2026-02-25T18:40:00Z,50,0.01355,0.35265,2.12515
2026-02-25T18:41:00Z,51,0.01439,0.3718,2.17548
2026-02-25T18:42:00Z,52,0.01413,0.35426,2.07954
2026-02-25T18:43:00Z,53,0.01418,0.34915,2.14313
2026-02-25T18:44:00Z,54,0.01376,0.35499,2.2012
2026-02-25T18:45:00Z,55,0.0141,0.35173,2.15686
2026-02-25T18:46:00Z,56,0.01394,0.34801,2.12097
2026-02-25T18:47:00Z,57,0.01417,0.33624,2.11974
2026-02-25T18:48:00Z,58,0.01436,0.3568,2.16481
2026-02-25T18:49:00Z,59,0.01518,0.33306,2.15894
2026-02-25T18:50:00Z,60,0.01418,0.36118,2.07353
2026-02-25T18:51:00Z,61,0.01366,0.33193,2.0065
2026-02-25T18:52:00Z,62,0.01381,0.32908,2.11907
2026-02-25T18:53:00Z,63,0.01424,0.35427,2.15803
2026-02-25T18:54:00Z,64,0.01377,0.32544,2.13416
2026-02-25T18:55:00Z,65,0.01339,0.35173,2.16768
2026-02-25T18:56:00Z,66,0.01381,0.31534,2.17561
2026-02-25T18:57:00Z,67,0.01399,0.34398,2.02749
2026-02-25T18:58:00Z,68,0.01374,0.33084,2.10891
2026-02-25T18:59:00Z,69,0.01381,0.33626,2.05259
2026-02-25T19:00:00Z,70,0.01396,0.33053,2.13115
2026-02-25T19:01:00Z,71,0.01438,0.31743,2.02824
2026-02-25T19:02:00Z,72,0.01466,0.33139,2.06707
2026-02-25T19:03:00Z,73,0.0148,0.32866,2.16306
2026-02-25T19:04:00Z,74,0.01405,0.34759,2.19149
2026-02-25T19:05:00Z,75,0.01389,0.33621,2.13566
2026-02-25T19:06:00Z,76,0.0147,0.31639,2.13739
2026-02-25T19:07:00Z,77,0.01454,0.30803,2.04364
2026-02-25T19:08:00Z,78,0.01299,0.32253,2.13843
2026-02-25T19:09:00Z,79,0.01476,0.3256,2.18376
2026-02-25T19:10:00Z,80,0.01332,0.30748,2.09934
2026-02-25T19:11:00Z,81,0.0142,0.32387,1.99855
2026-02-25T19:12:00Z,82,0.01396,0.31086,2.13524
2026-02-25T19:13:00Z,83,0.01419,0.31423,2.0759
2026-02-25T19:14:00Z,84,0.01348,0.32275,2.14921
2026-02-25T19:15:00Z,85,0.01351,0.32818,2.07481
2026-02-25T19:16:00Z,86,0.01361,0.32185,2.04944
2026-02-25T19:17:00Z,87,0.01373,0.31074,2.19933
2026-02-25T19:18:00Z,88,0.01402,0.31553,2.11169
2026-02-25T19:19:00Z,89,0.01395,0.32014,2.13161
2026-02-25T19:20:00Z,90,0.01438,0.31688,2.07203
2026-02-25T19:21:00Z,91,0.01387,0.29901,2.02499
2026-02-25T19:22:00Z,92,0.01469,0.33834,2.08823
2026-02-25T19:23:00Z,93,0.01429,0.32487,2.25456
2026-02-25T19:24:00Z,94,0.01456,0.32036,2.05279
2026-02-25T19:25:00Z,95,0.0132,0.32356,2.0627
2026-02-25T19:26:00Z,96,0.01329,0.31495,2.04639
2026-02-25T19:27:00Z,97,0.01485,0.33013,2.10003
2026-02-25T19:28:00Z,98,0.01474,0.322,2.05732
2026-02-25T19:29:00Z,99,0.01476,0.32653,2.04849
2026-02-25T19:30:00Z,100,0.01391,0.3123,2.03118
