experiment_id,encoder_type,target_setting_id,target_qed,target_logp,target_sas,latent_vector_id,optimization_run_id,random_seed,initial_pred_qed,initial_pred_logp,initial_pred_sas,final_pred_qed,final_pred_logp,final_pred_sas,delta_qed,delta_logp_improvement,delta_sas_improvement,optimization_steps,final_opt_loss,early_stopped,decoded_smiles,canonical_smiles,is_valid,is_unique,is_novel,rdkit_qed,rdkit_logp,rdkit_sas,qed_predictor_error,logp_predictor_error,sas_predictor_error,property_hit,tanimoto_max_sim,pains_count,pains_flag,brenk_count,brenk_flag,nih_count,nih_flag,filter_pass,lipinski_compliant,lipinski_violations,decoding_mode,heavy_atom_count,molecular_weight
5a31833b,CNN,T1,0.85,2.5,2.5,1,1,1,5.48132,4.9068,7.04499,0.62149,0.87647,1.08604,-4.85983,0.78327,3.13103,200,2.382346,False,[CH]C=[SH+][CH][CH]C=[NH2+],[CH]C=[SH+][CH][CH]C=[NH2+],True,True,True,,,,,,,,0.09259,1,True,5,True,1,True,False,True,0,greedy,7,114.193
5a31833b,CNN,T1,0.85,2.5,2.5,1,2,2,5.48132,4.9068,7.04499,0.62149,0.87647,1.08604,-4.85983,0.78327,3.13103,200,2.382346,False,[CH]C=[SH+][CH][CH][CH][NH3+],[CH]C=[SH+][CH][CH][CH][NH3+],True,True,True,,,,,,,,0.09091,1,True,4,True,1,True,False,True,0,greedy,7,115.201
5a31833b,CNN,T1,0.85,2.5,2.5,1,3,3,5.48132,4.9068,7.04499,0.62149,0.87647,1.08604,-4.85983,0.78327,3.13103,200,2.382346,False,[CH]C=[SH+][CH][CH]C=[NH2+],[CH]C=[SH+][CH][CH]C=[NH2+],True,False,True,,,,,,,,0.09259,1,True,5,True,1,True,False,True,0,greedy,7,114.193
5a31833b,CNN,T1,0.85,2.5,2.5,1,4,4,5.48132,4.9068,7.04499,0.62149,0.87647,1.08604,-4.85983,0.78327,3.13103,200,2.382346,False,[CH]C=[SH+][CH][CH][CH]C=[NH2+],[CH]C=[SH+][CH][CH][CH]C=[NH2+],True,True,True,,,,,,,,0.09091,1,True,5,True,1,True,False,True,0,greedy,8,127.212
5a31833b,CNN,T1,0.85,2.5,2.5,1,5,5,5.48132,4.9068,7.04499,0.62149,0.87647,1.08604,-4.85983,0.78327,3.13103,200,2.382346,False,[CH]C=[SH+][CH][CH]C=[NH2+],[CH]C=[SH+][CH][CH]C=[NH2+],True,False,True,,,,,,,,0.09259,1,True,5,True,1,True,False,True,0,greedy,7,114.193
5a31833b,CNN,T1,0.85,2.5,2.5,2,1,1001,2.59522,2.40674,3.58897,1.37776,1.6899,2.30312,-1.21746,-0.71684,0.89209,200,0.627268,False,[CH]C([CH])C=[NH2+],[CH]C([CH])C=[NH2+],True,True,True,,,,,,,,0.1,0,False,1,True,0,False,False,True,0,greedy,5,68.099
5a31833b,CNN,T1,0.85,2.5,2.5,2,2,1002,2.59522,2.40674,3.58897,1.37776,1.6899,2.30312,-1.21746,-0.71684,0.89209,200,0.627268,False,[CH][C@@H]([P+][CH]C=[NH2+])[SH+][CH][CH]C=[NH2+],[CH][C@@H]([P+][CH]C=[NH2+])[SH+][CH][CH]C=[NH2+],True,True,True,,,,,,,,0.08163,0,False,5,True,2,True,False,True,0,greedy,11,187.228
5a31833b,CNN,T1,0.85,2.5,2.5,2,3,1003,2.59522,2.40674,3.58897,1.37776,1.6899,2.30312,-1.21746,-0.71684,0.89209,200,0.627268,False,[CH][C@@H]([P]N[CH][CH]N[SH+]=[NH2+])[SH+][CH][CH]C=[NH2+],[CH][C@@H]([P]N[CH][CH]N[SH+]=[NH2+])[SH+][CH][CH]C=[NH2+],True,True,True,,,,,,,,0.10204,0,False,5,True,4,True,False,True,0,greedy,14,250.333
5a31833b,CNN,T1,0.85,2.5,2.5,2,4,1004,2.59522,2.40674,3.58897,1.37776,1.6899,2.30312,-1.21746,-0.71684,0.89209,200,0.627268,False,[CH][C@H]([CH]S[P][CH]Br)N[SH+]=[NH2+],[CH][C@H]([CH]S[P][CH]Br)N[SH+]=[NH2+],True,True,True,,,,,,,,0.08333,0,False,4,True,4,True,False,True,0,greedy,10,259.134
5a31833b,CNN,T1,0.85,2.5,2.5,2,5,1005,2.59522,2.40674,3.58897,1.37776,1.6899,2.30312,-1.21746,-0.71684,0.89209,200,0.627268,False,[CH][C@@H](C=[NH2+])[SH+][CH][CH]C=[SH]P=[NH2+],[CH][C@@H](C=[NH2+])[SH+][CH][CH]C=[SH]P=[NH2+],True,True,True,,,,,,,,0.08929,1,True,6,True,3,True,False,True,0,greedy,11,207.284
5a31833b,CNN,T1,0.85,2.5,2.5,3,1,2001,0.2149,0.37232,0.47825,1.35864,1.68078,2.31169,1.14375,1.30845,1.83344,200,0.613834,False,[CH][CH][C@@H](NBr)S[P][P]N[CH]SC=[OH+],[CH][CH][C@@H](NBr)S[P][P]N[CH]SC=[OH+],True,True,True,,,,,,,,0.125,0,False,7,True,5,True,False,True,0,greedy,13,318.118
5a31833b,CNN,T1,0.85,2.5,2.5,3,2,2002,0.2149,0.37232,0.47825,1.35864,1.68078,2.31169,1.14375,1.30845,1.83344,200,0.613834,False,[CH][CH]C=[NH2+],[CH][CH]C=[NH2+],True,True,True,,,,,,,,0.1,0,False,1,True,0,False,False,True,0,greedy,4,55.08
5a31833b,CNN,T1,0.85,2.5,2.5,3,3,2003,0.2149,0.37232,0.47825,1.35864,1.68078,2.31169,1.14375,1.30845,1.83344,200,0.613834,False,[CH][CH]N[CH]NS[P][CH]N[CH]SC=[OH+],[CH][CH]N[CH]NS[P][CH]N[CH]SC=[OH+],True,True,True,,,,,,,,0.08571,0,False,6,True,3,True,False,True,0,greedy,13,235.274
5a31833b,CNN,T1,0.85,2.5,2.5,3,4,2004,0.2149,0.37232,0.47825,1.35864,1.68078,2.31169,1.14375,1.30845,1.83344,200,0.613834,False,[CH][CH][CH][CH]N[P][P]S[C@@H]([CH][CH])N[SH+]([CH])SC=[OH+],[CH][CH][CH][CH]N[P][P]S[C@@H]([CH][CH])N[SH+]([CH])SC=[OH+],True,True,True,,,,,,,,0.08974,0,False,8,True,5,True,False,True,0,greedy,17,323.365
5a31833b,CNN,T1,0.85,2.5,2.5,3,5,2005,0.2149,0.37232,0.47825,1.35864,1.68078,2.31169,1.14375,1.30845,1.83344,200,0.613834,False,[CH][CH][C@@H](P=[SH+][CH]SC=[OH+])S[P][P]N[CH][CH][CH][NH],[CH][CH][C@@H](P=[SH+][CH]SC=[OH+])S[P][P]N[CH][CH][CH][NH],True,True,True,,,,,,,,0.08642,0,False,6,True,6,True,False,True,0,greedy,17,341.32
5a31833b,CNN,T1,0.85,2.5,2.5,4,1,3001,0.24851,0.34891,0.53259,1.30906,1.61968,2.4522,1.06056,1.27077,1.91961,200,0.600175,False,[CH]N[CH]SC=[OH+],[CH]N[CH]SC=[OH+],True,True,True,,,,,,,,0.11111,0,False,5,True,1,True,False,True,0,greedy,6,103.146
5a31833b,CNN,T1,0.85,2.5,2.5,4,2,3002,0.24851,0.34891,0.53259,1.30906,1.61968,2.4522,1.06056,1.27077,1.91961,200,0.600175,False,[CH][CH][CH]SC=[OH+],[CH][CH][CH]SC=[OH+],True,True,True,,,,,,,,0.09524,0,False,4,True,1,True,False,True,0,greedy,6,101.15
5a31833b,CNN,T1,0.85,2.5,2.5,4,3,3003,0.24851,0.34891,0.53259,1.30906,1.61968,2.4522,1.06056,1.27077,1.91961,200,0.600175,False,[CH]=N,[CH]=N,True,True,True,,,,,,,,0.06452,0,False,1,True,0,False,False,True,0,greedy,2,28.034
5a31833b,CNN,T1,0.85,2.5,2.5,4,4,3004,0.24851,0.34891,0.53259,1.30906,1.61968,2.4522,1.06056,1.27077,1.91961,200,0.600175,False,[CH][CH][CH]SC=[OH+],[CH][CH][CH]SC=[OH+],True,False,True,,,,,,,,0.09524,0,False,4,True,1,True,False,True,0,greedy,6,101.15
5a31833b,CNN,T1,0.85,2.5,2.5,4,5,3005,0.24851,0.34891,0.53259,1.30906,1.61968,2.4522,1.06056,1.27077,1.91961,200,0.600175,False,[CH][CH][CH]SC=[OH+],[CH][CH][CH]SC=[OH+],True,False,True,,,,,,,,0.09524,0,False,4,True,1,True,False,True,0,greedy,6,101.15
