experiment_id,encoder_type,target_setting_id,target_qed,target_logp,target_sas,n_total_attempts,n_valid,n_unique_valid,n_novel_valid,n_filter_pass,validity_rate,uniqueness_rate,novelty_rate,mean_pairwise_diversity,mean_tanimoto_max_sim,mean_delta_qed,mean_delta_logp,mean_delta_sas,mean_final_pred_qed,mean_final_pred_logp,mean_final_pred_sas,mean_rdkit_qed,mean_rdkit_logp,mean_rdkit_sas,property_hit_rate,mean_qed_pred_error,mean_logp_pred_error,mean_sas_pred_error,mean_opt_steps,mean_final_opt_loss,early_stop_rate,lipinski_compliance_rate,pains_clean_rate,brenk_clean_rate,nih_clean_rate,pearson_r_qed,pearson_r_logp,pearson_r_sas
5a31833b,CNN,T1,0.85,2.5,2.5,250,250,173,173,28,1.0,0.692,1.0,0.8974,0.0966,-2.38496,1.22762,2.84271,1.08006,1.32883,1.81074,nan,nan,nan,nan,nan,nan,nan,200.0,1.606865,0.0,0.94,0.788,0.192,0.192,nan,nan,nan
3ce3c9b2,CNN,T2,0.65,3.0,3.5,250,250,155,155,25,1.0,0.62,1.0,0.8968,0.0967,-2.13826,1.06804,2.39555,1.32676,1.57622,2.37306,nan,nan,nan,nan,nan,nan,nan,200.0,2.990669,0.0,0.956,0.828,0.196,0.204,nan,nan,nan
ecdd3f3e,CNN,T3,0.35,4.5,5.0,250,250,156,156,26,1.0,0.624,1.0,0.8992,0.0958,-1.55859,0.8002,2.18251,1.90643,2.20589,3.35024,nan,nan,nan,nan,nan,nan,nan,200.0,7.704973,0.0,0.952,0.788,0.196,0.188,nan,nan,nan
683cd323,CNN,T4,0.8,5.0,3.0,250,250,161,161,29,1.0,0.644,1.0,0.8896,0.0956,-1.75981,0.48868,2.97662,1.70521,2.15064,2.55129,nan,nan,nan,nan,nan,nan,nan,200.0,6.158243,0.0,0.932,0.836,0.196,0.208,nan,nan,nan
77ceef9a,CNN,T5,0.8,2.5,2.0,250,250,164,164,25,1.0,0.656,1.0,0.8999,0.0953,-2.54518,1.15087,3.05133,0.91984,1.25207,1.49264,nan,nan,nan,nan,nan,nan,nan,199.1,1.428825,0.02,0.912,0.8,0.184,0.18,nan,nan,nan
92224545,CNN,T6,0.6,0.5,3.5,250,250,164,164,14,1.0,0.656,1.0,0.8924,0.0946,-2.76254,2.3508,1.71409,0.70248,0.76896,1.6916,nan,nan,nan,nan,nan,nan,nan,200.0,2.279802,0.0,0.916,0.68,0.14,0.152,nan,nan,nan
a12f1cf1,CNN,T7,0.5,5.5,4.0,250,250,171,171,25,1.0,0.684,1.0,0.8918,0.0971,-0.97029,1.0787,3.13111,2.49472,2.97977,3.62748,nan,nan,nan,nan,nan,nan,nan,200.0,12.02761,0.0,0.94,0.792,0.176,0.164,nan,nan,nan
b117f7a2,CNN,T8,0.7,3.0,2.0,250,250,162,162,25,1.0,0.648,1.0,0.8962,0.095,-2.4863,0.78844,3.09306,0.97872,1.29662,1.5524,nan,nan,nan,nan,nan,nan,nan,200.0,2.488532,0.0,0.936,0.8,0.188,0.176,nan,nan,nan
9d5e0770,CNN,T9,0.6,3.5,6.5,250,250,170,170,28,1.0,0.68,1.0,0.8952,0.0965,-0.70144,1.9547,2.72188,2.76358,2.80691,4.74087,nan,nan,nan,nan,nan,nan,nan,200.0,9.663067,0.0,0.948,0.772,0.152,0.188,nan,nan,nan
353beea2,GNN,T1,0.85,2.5,2.5,250,250,167,167,41,1.0,0.668,1.0,0.8953,0.0956,-2.38496,1.22762,2.84271,1.08006,1.32883,1.81074,nan,nan,nan,nan,nan,nan,nan,200.0,1.606865,0.0,0.948,0.832,0.244,0.268,nan,nan,nan
