timestamp,epoch,bce_loss,kl_loss,total_loss
2026-02-25T14:32:00Z,1,55.6987,0.0098,55.7085
2026-02-25T14:34:00Z,2,52.0791,0.0562,52.1353
2026-02-25T14:36:00Z,3,48.3407,0.0863,48.4271
2026-02-25T14:38:00Z,4,45.9513,0.1712,46.1225
2026-02-25T14:40:00Z,5,42.2663,0.2511,42.5174
2026-02-25T14:42:00Z,6,39.6324,0.3198,39.9522
2026-02-25T14:44:00Z,7,37.4891,0.3765,37.8656
2026-02-25T14:46:00Z,8,34.471,0.543,35.0139
2026-02-25T14:48:00Z,9,32.7029,0.713,33.4159
2026-02-25T14:50:00Z,10,30.8562,0.772,31.6283
2026-02-25T14:52:00Z,11,30.0681,0.9837,31.0518
2026-02-25T14:54:00Z,12,27.9103,1.0728,28.9831
2026-02-25T14:56:00Z,13,26.1949,1.3358,27.5307
2026-02-25T14:58:00Z,14,24.5992,1.5325,26.1318
2026-02-25T15:00:00Z,15,23.5746,1.6688,25.2434
2026-02-25T15:02:00Z,16,22.429,2.0294,24.4584
2026-02-25T15:04:00Z,17,21.6107,1.9874,23.5981
2026-02-25T15:06:00Z,18,20.9758,2.1687,23.1445
2026-02-25T15:08:00Z,19,19.8386,2.2982,22.1368
2026-02-25T15:10:00Z,20,18.4034,2.714,21.1174
2026-02-25T15:12:00Z,21,18.4753,2.7868,21.2621
2026-02-25T15:14:00Z,22,17.4392,2.811,20.2503
2026-02-25T15:16:00Z,23,16.2553,2.8371,19.0924
2026-02-25T15:18:00Z,24,16.0747,3.0794,19.154
2026-02-25T15:20:00Z,25,15.8557,2.8587,18.7143
2026-02-25T15:22:00Z,26,15.3504,3.0547,18.4051
2026-02-25T15:24:00Z,27,14.4923,3.2097,17.7021
2026-02-25T15:26:00Z,28,14.7544,3.2943,18.0487
2026-02-25T15:28:00Z,29,13.619,3.2201,16.8391
2026-02-25T15:30:00Z,30,13.7308,3.3961,17.1269
2026-02-25T15:32:00Z,31,13.0788,3.325,16.4038
2026-02-25T15:34:00Z,32,12.5263,3.2668,15.7931
2026-02-25T15:36:00Z,33,13.0163,3.5627,16.579
2026-02-25T15:38:00Z,34,12.4072,3.5661,15.9733
2026-02-25T15:40:00Z,35,12.3458,3.4379,15.7837
2026-02-25T15:42:00Z,36,12.1296,3.6911,15.8207
2026-02-25T15:44:00Z,37,11.7719,3.7269,15.4988
2026-02-25T15:46:00Z,38,10.5554,3.6841,14.2396
2026-02-25T15:48:00Z,39,11.4699,3.6019,15.0718
2026-02-25T15:50:00Z,40,11.317,3.4615,14.7785
2026-02-25T15:52:00Z,41,11.05,3.7229,14.7729
2026-02-25T15:54:00Z,42,11.598,3.661,15.259
2026-02-25T15:56:00Z,43,10.5629,3.6871,14.2499
2026-02-25T15:58:00Z,44,11.1415,3.7932,14.9348
2026-02-25T16:00:00Z,45,10.4614,3.8337,14.2951
2026-02-25T16:02:00Z,46,10.6183,3.9001,14.5184
2026-02-25T16:04:00Z,47,10.2123,3.7903,14.0026
2026-02-25T16:06:00Z,48,10.2568,3.6956,13.9524
2026-02-25T16:08:00Z,49,10.459,3.8859,14.3449
2026-02-25T16:10:00Z,50,10.2754,3.8534,14.1287
2026-02-25T16:12:00Z,51,9.6453,3.8509,13.4962
2026-02-25T16:14:00Z,52,10.0175,3.8281,13.8456
2026-02-25T16:16:00Z,53,10.0377,3.9633,14.001
2026-02-25T16:18:00Z,54,10.8085,3.9542,14.7627
2026-02-25T16:20:00Z,55,10.1127,3.9425,14.0552
2026-02-25T16:22:00Z,56,9.2014,3.9598,13.1612
2026-02-25T16:24:00Z,57,9.9555,4.2206,14.1761
2026-02-25T16:26:00Z,58,9.8199,4.0158,13.8357
2026-02-25T16:28:00Z,59,9.8512,3.8795,13.7307
2026-02-25T16:30:00Z,60,10.2931,4.0817,14.3748
2026-02-25T16:32:00Z,61,10.1255,3.9252,14.0507
2026-02-25T16:34:00Z,62,10.3454,3.8852,14.2306
2026-02-25T16:36:00Z,63,9.9963,4.2531,14.2495
2026-02-25T16:38:00Z,64,9.3444,3.9858,13.3302
2026-02-25T16:40:00Z,65,9.7613,3.9999,13.7612
2026-02-25T16:42:00Z,66,9.0834,4.0646,13.148
2026-02-25T16:44:00Z,67,9.2625,4.1122,13.3747
2026-02-25T16:46:00Z,68,9.3046,4.2266,13.5313
2026-02-25T16:48:00Z,69,9.3453,4.0458,13.3912
2026-02-25T16:50:00Z,70,9.9713,3.9611,13.9324
2026-02-25T16:52:00Z,71,9.7252,4.2207,13.9459
2026-02-25T16:54:00Z,72,8.9805,4.1139,13.0944
2026-02-25T16:56:00Z,73,9.7176,4.1789,13.8964
2026-02-25T16:58:00Z,74,9.1098,3.9736,13.0833
2026-02-25T17:00:00Z,75,9.805,4.1401,13.945
2026-02-25T17:02:00Z,76,9.6887,4.1495,13.8382
2026-02-25T17:04:00Z,77,9.3094,4.1423,13.4517
2026-02-25T17:06:00Z,78,9.6921,4.0517,13.7438
2026-02-25T17:08:00Z,79,10.3152,4.1744,14.4896
2026-02-25T17:10:00Z,80,9.0869,4.1963,13.2832
2026-02-25T17:12:00Z,81,9.1684,4.2128,13.3813
